price,bdrms,sqrft
300000,4,2438
370000,3,2076
191000,3,1374
195000,3,1448
373000,4,2514
466275,5,2754
332500,3,2067
315000,3,1731
206000,3,1767
240000,3,1890
285000,4,2336
300000,5,2634
405000,3,3375
212000,3,1899
265000,3,2312
227400,4,1760
240000,4,2000
285000,3,1774
268000,3,1376
310000,4,1835
266000,3,2048
270000,3,2124
225000,3,1768
150000,4,1732
247000,3,1440
275000,3,1932
230000,3,1932
343000,3,2106
477500,7,3529
350000,4,2051
230000,4,1573
335000,4,2829
251000,3,1630
235000,4,1840
361000,4,2066
190000,4,1702
360000,4,2750
575000,5,3880
209001,4,1854
225000,2,1421
246000,3,1662
713500,5,3331
248000,4,1656
230000,3,1171
375000,5,2293
265000,3,1764
313000,3,2768
417500,4,3733
253000,3,1536
315000,4,1638
264000,3,1972
255000,2,1478
210000,3,1408
180000,3,1812
250000,3,1722
250000,4,1780
209000,4,1674
258000,4,1850
289000,3,1925
316000,4,2343
225000,3,1567
266000,4,1664
310000,6,1386
471250,5,2617
335000,4,2321
495000,4,2638
279500,4,1915
380000,4,2589
325000,4,2709
220000,3,1587
215000,3,1694
240000,3,1536
725000,5,3662
230000,3,1736
306000,2,2205
425000,3,1502
318000,4,1696
330000,3,2186
246000,4,1928
225000,3,1294
111000,4,1535
268125,3,1980
244000,4,2090
295000,3,1837
236000,3,1715
202500,3,1574
219000,2,1185
242000,4,1774
