bwght,faminc,male,cigs
652.039,22.5,1,0
850.48572,22.5,0,0
992.23334,27.5,0,0
1077.2819,32.5,0,0
1219.0295,22.5,1,0
1417.4762,5.5,1,8
1474.1752,9.5,1,0
1530.8743,15.5,1,0
1587.5732,65,1,0
1644.2723,10.5,1,0
1644.2723,42.5,0,0
1700.9714,12.5,1,20
1700.9714,2.5,1,0
1729.3209,6.5,1,0
1814.3695,32.5,1,0
1814.3695,27.5,0,20
1814.3695,12.5,1,0
1927.7676,9.5,0,10
1927.7676,32.5,1,0
1927.7676,32.5,1,20
1956.1171,42.5,0,0
1984.4667,32.5,1,0
2012.8162,42.5,0,0
2012.8162,37.5,0,15
2041.1656,18.5,0,0
2041.1656,27.5,1,0
2069.5151,22.5,1,0
2069.5151,15.5,0,0
2097.8647,9.5,0,0
2097.8647,14.5,1,10
2097.8647,65,0,0
2097.8647,13.5,1,0
2126.2144,6.5,0,0
2126.2144,22.5,1,20
2126.2144,11.5,1,20
2154.5637,65,0,0
2154.5637,32.5,0,10
2154.5637,16.5,0,0
2182.9133,32.5,0,0
2211.2627,9.5,1,0
2211.2627,13.5,1,0
2239.6123,65,1,0
2239.6123,11.5,1,20
2239.6123,3.5,1,0
2239.6123,4.5,1,10
2239.6123,3.5,1,0
2239.6123,2.5,1,0
2267.9619,37.5,0,0
2267.9619,9.5,1,15
2267.9619,27.5,0,0
2296.3113,37.5,1,0
2296.3113,65,0,0
2296.3113,27.5,0,40
2324.6609,65,0,0
2324.6609,42.5,0,0
2324.6609,37.5,0,0
2324.6609,37.5,0,0
2353.0105,37.5,0,0
2353.0105,3.5,0,4
2353.0105,42.5,0,0
2353.0105,27.5,1,20
2353.0105,0.5,0,0
2381.3599,22.5,0,0
2381.3599,11.5,1,0
2381.3599,19.5,1,0
2409.7095,12.5,0,0
2409.7095,5.5,1,0
2438.0591,1.5,0,10
2438.0591,27.5,0,0
2438.0591,2.5,0,0
2438.0591,32.5,1,0
2438.0591,65,0,0
2438.0591,6.5,0,0
2438.0591,6.5,1,0
2466.4084,22.5,1,15
2466.4084,42.5,1,0
2466.4084,22.5,1,0
2466.4084,19.5,0,0
2466.4084,65,0,5
2466.4084,37.5,0,0
2466.4084,65,0,0
2466.4084,12.5,1,0
2466.4084,27.5,1,20
2494.7581,37.5,0,0
2494.7581,65,0,0
2494.7581,5.5,1,0
2494.7581,32.5,1,0
2494.7581,16.5,1,5
2523.1077,19.5,1,0
2523.1077,9.5,0,20
2523.1077,5.5,1,40
2523.1077,42.5,0,0
2523.1077,37.5,0,3
2523.1077,42.5,1,0
2551.457,65,0,0
2551.457,65,0,0
2551.457,1.5,0,0
2551.457,14.5,0,20
2551.457,19.5,1,10
2551.457,42.5,1,12
2551.457,13.5,0,0
2551.457,27.5,1,50
2551.457,32.5,1,0
2579.8066,15.5,0,0
2579.8066,32.5,1,0
2579.8066,65,1,0
2579.8066,6.5,0,10
2579.8066,65,1,0
2579.8066,10.5,0,0
2579.8066,22.5,0,0
2579.8066,11.5,1,30
2579.8066,12.5,1,20
2579.8066,9.5,0,0
2579.8066,2.5,1,0
2579.8066,16.5,0,0
2579.8066,22.5,0,6
2608.156,22.5,0,0
2608.156,7.5,0,8
2608.156,42.5,0,0
2608.156,47.5,0,0
2608.156,32.5,1,15
2608.156,10.5,0,20
2608.156,12.5,1,0
2608.156,65,0,0
2608.156,17.5,0,20
2608.156,3.5,0,4
2636.5056,65,0,0
2636.5056,32.5,0,0
2636.5056,5.5,0,0
2636.5056,65,1,0
2636.5056,65,0,0
2636.5056,2.5,0,0
2636.5056,7.5,1,10
2636.5056,37.5,0,0
2636.5056,4.5,0,0
2636.5056,9.5,1,0
2636.5056,47.5,1,0
2636.5056,27.5,0,0
2636.5056,65,1,0
2664.8552,5.5,0,0
2664.8552,22.5,1,10
2664.8552,65,0,0
2664.8552,32.5,1,0
2664.8552,2.5,0,0
2664.8552,65,0,0
2664.8552,22.5,0,30
2664.8552,65,0,0
2664.8552,13.5,1,10
2693.2046,19.5,0,0
2693.2046,32.5,0,5
2693.2046,13.5,1,0
2693.2046,4.5,1,0
2693.2046,27.5,0,0
2721.5542,0.5,0,0
2721.5542,2.5,1,10
2721.5542,13.5,1,0
2721.5542,37.5,1,0
2721.5542,4.5,0,8
2721.5542,27.5,0,0
2721.5542,11.5,1,0
2721.5542,22.5,0,40
2721.5542,9.5,1,0
2721.5542,13.5,1,0
2721.5542,6.5,1,0
2721.5542,10.5,0,0
2749.9038,5.5,1,0
2749.9038,37.5,0,20
2749.9038,65,1,0
2749.9038,13.5,0,0
2749.9038,13.5,0,0
2749.9038,18.5,0,0
2749.9038,42.5,0,0
2749.9038,27.5,1,0
2749.9038,4.5,0,2
2749.9038,15.5,1,0
2749.9038,47.5,0,10
2749.9038,6.5,1,2
2749.9038,22.5,0,0
2749.9038,47.5,0,0
2749.9038,22.5,0,0
2778.2532,37.5,0,0
2778.2532,17.5,0,0
2778.2532,37.5,1,0
2778.2532,65,0,0
2778.2532,47.5,0,0
2778.2532,15.5,1,0
2778.2532,18.5,0,0
2778.2532,4.5,1,20
2778.2532,22.5,0,0
2778.2532,3.5,0,20
2778.2532,27.5,0,12
2778.2532,9.5,0,0
2778.2532,27.5,1,0
2778.2532,47.5,1,0
2778.2532,32.5,0,10
2778.2532,15.5,0,0
2778.2532,4.5,0,0
2778.2532,19.5,0,0
2806.6028,22.5,0,10
2806.6028,37.5,0,5
2806.6028,65,1,0
2806.6028,65,1,0
2806.6028,6.5,0,0
2806.6028,27.5,1,0
2806.6028,14.5,0,0
2806.6028,18.5,0,0
2806.6028,14.5,0,0
2834.9524,18.5,0,0
2834.9524,10.5,0,0
2834.9524,32.5,0,7
2834.9524,32.5,0,0
2834.9524,16.5,0,0
2834.9524,27.5,1,0
2834.9524,8.5,1,0
2834.9524,22.5,1,0
2834.9524,22.5,0,0
2834.9524,6.5,1,0
2834.9524,65,0,0
2834.9524,32.5,1,0
2834.9524,22.5,0,0
2863.3018,22.5,0,0
2863.3018,4.5,0,4
2863.3018,13.5,0,3
2863.3018,19.5,0,15
2863.3018,13.5,1,0
2863.3018,65,1,0
2863.3018,19.5,1,0
2863.3018,32.5,0,0
2863.3018,15.5,1,0
2863.3018,42.5,0,0
2863.3018,47.5,0,0
2863.3018,5.5,1,0
2863.3018,22.5,0,0
2863.3018,16.5,1,10
2863.3018,0.5,0,0
2863.3018,8.5,1,10
2863.3018,15.5,0,0
2863.3018,27.5,1,0
2891.6514,15.5,1,0
2891.6514,22.5,0,0
2891.6514,5.5,0,20
2891.6514,42.5,0,5
2891.6514,22.5,1,0
2891.6514,2.5,0,30
2891.6514,65,0,0
2891.6514,17.5,1,20
2891.6514,6.5,1,0
2891.6514,27.5,1,0
2891.6514,32.5,0,0
2891.6514,37.5,1,0
2891.6514,42.5,1,0
2891.6514,42.5,1,0
2891.6514,4.5,1,10
2891.6514,42.5,1,0
2891.6514,3.5,0,0
2891.6514,37.5,0,5
2891.6514,13.5,0,0
2920.001,32.5,1,0
2920.001,32.5,0,8
2920.001,22.5,0,20
2920.001,27.5,0,20
2920.001,42.5,1,0
2920.001,6.5,1,4
2920.001,27.5,0,0
2920.001,27.5,0,0
2920.001,17.5,1,10
2920.001,22.5,0,12
2920.001,12.5,1,10
2920.001,8.5,1,0
2920.001,27.5,0,0
2920.001,65,1,0
2920.001,18.5,0,0
2920.001,65,0,0
2948.3503,12.5,0,0
2948.3503,65,0,0
2948.3503,0.5,0,10
2948.3503,19.5,1,0
2948.3503,65,0,0
2948.3503,27.5,0,15
2948.3503,10.5,1,0
2948.3503,14.5,1,20
2948.3503,6.5,1,20
2948.3503,10.5,0,20
2948.3503,18.5,0,0
2948.3503,3.5,1,5
2948.3503,22.5,0,0
2948.3503,47.5,0,0
2948.3503,32.5,1,0
2948.3503,9.5,0,0
2948.3503,3.5,1,20
2948.3503,22.5,0,20
2948.3503,1.5,0,0
2948.3503,27.5,0,0
2948.3503,13.5,0,0
2948.3503,32.5,0,0
2948.3503,14.5,1,0
2948.3503,27.5,0,0
2948.3503,5.5,1,15
2948.3503,17.5,0,15
2948.3503,13.5,0,0
2948.3503,9.5,0,0
2948.3503,11.5,1,0
2976.7,14.5,1,0
2976.7,1.5,0,0
2976.7,27.5,1,0
2976.7,18.5,1,0
2976.7,3.5,0,2
2976.7,12.5,0,0
2976.7,4.5,1,20
2976.7,17.5,0,0
2976.7,65,0,0
2976.7,7.5,0,0
2976.7,27.5,0,0
