"bwght","mage","meduc","fage","feduc"
3060,26,12,34,16
3730,29,12,32,12
2530,33,12,36,16
3289,28,17,32,17
3590,23,13,24,16
3420,28,12,30,16
3355,27,16,28,16
3590,32,12,36,16
4410,16,11,21,10
3700,26,14,26,14
3010,25,14,25,12
3930,28,16,30,16
2977,29,16,38,12
2890,31,16,34,16
3977,29,16,30,12
3940,26,14,26,16
4990,31,14,37,17
3232,28,12,30,16
3690,27,12,22,12
3345,30,12,32,12
3410,24,12,29,11
2850,22,16,24,16
3005,19,10,25,12
2991,27,12,33,12
3203,32,14,31,14
3544,30,12,25,13
3180,36,13,33,16
3090,27,16,33,16
4190,29,12,39,11
3090,26,14,26,14
2637,28,12,31,12
2892,28,12,26,12
3657,23,12,23,16
3440,32,16,39,16
2977,24,13,29,13
3990,27,12,27,12
3820,28,13,31,13
2750,32,12,31,12
3700,35,16,33,12
4220,25,12,30,17
3175,29,16,30,16
3090,24,13,26,12
3770,26,16,31,17
2330,29,14,37,12
3190,38,16,29,16
4110,30,14,31,12
4150,37,14,32,14
3997,24,12,28,12
2480,24,16,27,16
3170,28,12,29,12
3336,29,11,31,12
3630,27,16,36,16
3800,30,16,29,16
3110,27,12,27,12
3510,36,16,39,16
4182,25,14,27,12
3370,30,12,33,16
2680,29,17,33,17
3330,28,16,35,16
3160,33,12,57,12
3487,32,16,31,16
3110,33,13,31,16
3360,16,11,20,11
3500,34,16,36,16
3310,33,14,37,16
3845,25,13,30,16
3570,31,12,32,16
3941,31,14,34,14
3470,30,12,32,14
3663,21,12,25,12
3640,31,12,33,16
4111,34,16,44,12
3845,23,13,26,12
3325,23,12,21,12
3969,24,12,28,12
3289,30,16,43,12
3544,38,16,36,16
3062,30,16,32,17
2939,34,14,37,14
3717,30,17,32,16
3485,33,16,36,16
4190,37,12,37,12
3320,25,13,26,12
3969,24,14,28,12
3770,27,13,35,14
3710,20,13,23,16
3620,28,12,33,17
3475,31,12,33,13
4070,32,13,36,17
3805,31,16,33,16
3310,25,9,25,9
2870,29,14,33,12
3555,26,12,28,12
2940,20,14,31,16
3680,22,12,19,12
3470,28,16,28,16
3289,18,12,18,12
3740,29,16,32,12
4640,21,12,25,12
3040,26,14,27,12
