year,dist,rprice,age,rooms,baths,area,land
1981,0.9469697,90629.8,11,7,2,1731,14810
1978,0.9848485,51000,18,5,1,1166,45000
1978,1.003788,56900,38,6,2,2032,10993
1978,1.079545,62000,22,6,2,1318,20550
1981,1.098485,52227.34,21,6,2,1684,81273
1978,1.098485,48000,21,5,2,1078,21800
1978,1.117424,48000,56,7,2,3460,11421
1978,1.136364,46000,3,7,2,1261,10000
1978,1.155303,44000,1,6,2,1869,12500
1981,1.193182,31490.02,41,6,1,936,8276
1978,1.25,43500,48,6,1,1490,5000
1978,1.268939,49000,68,6,2,1875,9790
1981,1.287879,51075.27,59,5,1,1867,5000
1978,1.287879,56900,14,6,2,1421,21120
1978,1.287879,53000,28,5,2,1592,12700
1978,1.287879,40000,56,5,1,1867,5000
1981,1.344697,38402.46,51,5,1,1140,13945
1981,1.363636,59062.98,1,5,2,1531,3049
1981,1.439394,50691.25,121,7,1,1674,54886
1978,1.439394,49000,54,8,1,915,14000
1981,1.477273,67588.33,81,6,1,2327,35538
1978,1.515152,83000,38,6,2,3861,51062
1981,1.534091,61443.93,0,6,3,1988,65212
1981,1.55303,76804.91,0,7,3,5136,47916
1978,1.628788,39000,78,6,1,1439,4990
1981,1.628788,110599.1,0,7,3,2464,46174
1981,1.647727,119047.6,1,9,3,2996,45738
1981,1.666667,165898.6,0,7,3,2548,46174
1981,1.704545,53763.44,81,6,1,1830,13939
1978,1.780303,47000,104,8,2,2576,12568
1981,1.818182,56835.64,7,5,2,1587,5957
1978,1.875,80000,58,7,2,1838,9249
1981,1.875,95622.12,0,6,4,3398,63260
1978,1.893939,50000,56,6,2,1536,10491
1978,1.893939,48000,21,5,1,1038,15431
1978,1.893939,59000,70,5,2,2458,9400
1978,1.893939,46000,78,6,3,1780,9500
1981,1.912879,39938.55,71,5,1,1575,3485
1978,1.931818,68500,18,6,2,1377,12877
1981,1.931818,52227.34,31,6,2,3304,18731
1978,1.931818,38500,78,6,2,1556,3870
1981,1.931818,36098.31,81,6,1,1410,4500
1981,1.988636,81413.21,13,6,2,1633,17728
1981,1.988636,51075.27,41,5,1,1166,9770
1978,1.988636,60500,42,8,2,1642,7000
1978,2.007576,42000,26,4,1,750,8000
1978,2.026515,54000,13,6,2,1570,8790
1978,2.026515,60000,48,7,1,1660,4578
1978,2.083333,40000,83,6,2,2612,8370
1978,2.083333,55000,41,5,2,1443,7950
1981,2.102273,49923.2,25,5,1,912,12005
1981,2.121212,41474.66,41,6,1,1700,7500
1978,2.121212,61000,12,7,2,1800,13030
1978,2.159091,31000,28,5,1,925,4585
1978,2.159091,55500,28,6,2,1972,20089
1981,2.17803,69892.48,31,7,2,2263,10019
1978,2.17803,34000,58,6,1,1144,5000
1981,2.17803,99846.39,24,7,3,3208,17424
1978,2.215909,71500,21,5,2,2106,13370
1978,2.215909,56000,22,6,2,1700,10878
1978,2.215909,43000,24,4,1,1000,8000
1981,2.234848,53763.44,31,6,2,1454,5500
1981,2.234848,37634.41,81,6,1,1554,6790
1978,2.234848,48000,48,6,2,1500,5153
1981,2.253788,55683.56,31,6,1,1482,12632
1978,2.253788,63900,11,5,1,1136,10000
1981,2.253788,51459.29,36,4,1,970,11104
1981,2.253788,99846.39,0,7,2,2644,35284
1978,2.291667,63000,23,6,1,2089,16935
1978,2.291667,44000,48,5,1,1868,10000
1978,2.310606,41000,38,5,1,1482,8017
1981,2.329545,101382.5,0,7,3,2574,43757
1978,2.348485,50900,18,6,2,1290,12538
1978,2.367424,48000,33,6,2,1410,10370
1978,2.367424,32000,148,6,2,1464,29129
1981,2.424242,53763.44,3,6,2,1728,10938
1981,2.481061,75192.02,0,7,2,1226,13068
1981,2.5,79800.3,0,7,2,1910,20909
1981,2.5,56758.83,19,6,1,1592,13068
1978,2.537879,50900,58,5,1,930,8185
1981,2.537879,74308.76,1,7,2,1242,23087
1981,2.537879,61059.91,36,5,2,2216,10000
1978,2.556818,70400,3,5,2,1342,8500
1978,2.575758,60500,12,6,2,1399,10000
1981,2.613636,47619.05,15,6,1,1133,5000
1978,2.651515,32000,25,6,2,2112,12500
1981,2.651515,66052.23,20,6,1,1425,19550
1978,2.746212,185000,189,9,4,5078,132422
1978,2.80303,120000,9,6,3,3030,47916
1981,2.840909,207373.3,12,7,3,3334,43560
1978,2.840909,90000,12,7,3,2352,26890
1978,2.935606,300000,0,7,3,3770,282704
1978,2.954545,125000,1,9,3,2794,43995
1978,2.954545,90400,1,7,3,2796,43560
1978,2.954545,148000,1,7,3,2781,43560
1978,2.954545,34000,78,5,1,990,1710
1978,3.030303,100000,10,7,3,2252,44000
1981,3.030303,120199.7,2,7,3,2464,31215
1981,3.030303,107526.9,8,8,3,2400,29226
1978,3.030303,131500,8,9,3,2598,44000
1981,3.049242,57603.69,39,6,1,1456,18215
1978,3.049242,36000,188,6,2,2071,9665
1978,3.068182,98000,153,9,4,3792,35942
1978,3.068182,120000,8,7,3,2171,44064
1981,3.125,138248.8,2,7,3,2744,77101
1981,3.143939,153609.8,0,7,3,2470,64745
1978,3.162879,67500,5,5,2,1358,44775
1978,3.181818,53500,25,7,1,1333,11883
1978,3.181818,52000,32,6,1,1274,7858
1981,3.200758,46082.95,25,6,1,1388,7500
1981,3.200758,134408.6,26,6,2,1842,29130
1981,3.219697,51059.14,26,5,1,1104,15512
1981,3.219697,61443.93,65,5,2,2384,10000
1981,3.238636,107526.9,0,6,3,2248,49829
1978,3.238636,66900,178,10,2,1750,12516
1978,3.257576,49000,18,6,1,1476,15664
1981,3.257576,56067.59,29,6,1,1564,48787
1981,3.276515,49923.2,81,6,2,1760,32670
1981,3.295455,79800.3,1,7,3,1836,35284
1981,3.333333,53763.44,26,6,1,1526,28314
1981,3.333333,82872.5,1,7,2,1836,35121
1978,3.352273,64900,3,7,2,2856,29955
1978,3.352273,85500,3,7,3,2544,26726
1978,3.352273,75000,12,6,2,1537,48352
1981,3.352273,77649.77,6,7,2,2856,29955
1981,3.371212,115207.4,6,6,3,3132,26136
1981,3.44697,90245.77,1,9,3,1910,15246
1981,3.465909,62980.03,29,6,1,1566,43996
1978,3.465909,82000,13,6,2,1964,25182
1981,3.465909,103686.6,0,7,3,2252,34879
1981,3.465909,103686.6,0,7,3,2252,34879
1981,3.484848,110215.1,0,6,3,2144,12806
1981,3.484848,124424,0,7,3,3232,25380
1981,3.503788,122887.9,0,7,3,2836,37046
1981,3.503788,139857.9,0,7,3,3074,25159
1978,3.503788,122500,0,7,3,2206,50094
1981,3.503788,134408.6,0,7,3,3074,25265
1981,3.522727,129032.3,0,7,3,2486,30808
1981,3.541667,145819.5,0,7,4,3396,31412
1981,3.541667,75268.82,3,6,2,1197,50965
1981,3.560606,92089.09,0,7,3,2258,12500
1981,3.560606,107526.9,0,7,3,2302,13504
1981,3.579545,90629.8,0,7,3,1991,12632
1981,3.579545,134408.6,0,7,3,3055,25265
1981,3.579545,146319.5,0,7,3,2464,37026
1981,3.579545,96006.14,1,7,3,2016,12632
1978,3.579545,83500,3,6,2,1924,42688
1981,3.598485,180147.5,0,7,3,3252,29671
1981,3.598485,98310.29,1,7,3,2700,13504
1981,3.598485,119047.6,2,7,2,2688,28688
1981,3.598485,76804.91,0,7,3,1746,13504
1981,3.598485,168970.8,0,7,3,3040,29621
1981,3.598485,92165.9,131,9,2,3798,50045
1981,3.598485,46082.95,41,5,1,735,10454
1981,3.674242,156743.5,0,7,3,2261,45465
1978,3.674242,26000,2,7,3,2030,25120
1978,3.712121,37500,128,7,2,2346,43560
1978,3.731061,72900,10,7,2,2080,25000
1978,3.75,95000,2,7,3,2238,25690
1978,3.75,77500,1,7,3,1998,147668
1978,3.768939,79000,1,7,3,1998,43561
1978,3.825758,84211,0,7,3,2756,27205
1978,3.825758,97000,0,7,3,2252,30894
1978,3.825758,61900,0,9,3,1411,44431
1978,3.844697,142500,0,7,3,2492,27248
1978,3.882576,119900,0,7,3,2352,31331
1981,3.882576,72964.67,19,5,2,1148,44182
1978,3.882576,107900,0,7,3,2464,30945
1978,3.939394,107000,0,7,3,2012,30800
1978,3.958333,121000,0,7,3,2510,31915
1978,3.958333,62400,0,7,2,1296,46609
1978,3.958333,120000,0,7,3,2464,31059
1978,3.977273,79900,2,7,3,1540,46174
1978,3.977273,58000,26,6,2,1356,544500
1978,3.977273,117000,0,7,3,3030,32255
1978,3.996212,120000,1,7,3,2502,34666
1978,4.034091,65000,11,7,3,2727,44867
1981,4.034091,74500.77,20,6,2,1296,44867
1978,4.07197,96900,0,7,3,2464,41463
1978,4.090909,91000,1,7,3,2240,53000
1978,4.109848,95920,0,7,3,2464,48269
1978,4.109848,94000,0,7,3,2290,25250
1978,4.147727,95000,0,7,3,2240,44916
1978,4.166667,95900,0,7,3,2464,50808
1978,4.185606,37500,21,4,1,2276,43560
1978,4.204545,59000,7,6,2,2128,44174
1981,4.356061,65284.18,1,6,2,1154,43560
1978,4.356061,89500,1,7,2,2240,43560
1978,4.375,89500,0,7,3,2436,43560
1978,4.393939,94900,0,7,3,2384,43560
1981,4.526515,149001.5,1,9,3,3170,45302
1981,4.545455,134792.6,0,8,3,3284,43996
1978,4.545455,59000,15,6,1,1215,44867
