"income","exper","educ","motheduc","IQ"
48100,9,12,8,93
72100,16,12,12,103
25000,10,11,12,88
72900,16,12,7,108
50000,8,12,12,85
56500,9,18,14,119
60800,9,14,14,108
42500,10,12,12,96
51500,11,12,12,97
22500,13,9,12,84
40000,8,12,6,89
41700,7,11,6,93
21700,13,11,6,74
89400,9,16,8,116
34600,16,12,8,93
65800,9,14,12,100
57500,10,10,8,91
64900,14,12,8,88
61400,10,18,8,114
72600,11,15,14,111
69300,14,12,12,95
140000,10,18,13,132
180000,8,18,16,109
41300,7,12,12,108
63200,9,14,16,102
20800,7,12,12,106
45700,7,12,11,104
82400,2,16,10,119
57700,10,18,12,122
25500,11,11,10,90
96200,8,16,12,118
94400,15,10,6,105
114600,10,18,11,115
23500,7,11,12,65
100000,16,12,10,120
48100,11,9,12,86
62400,11,15,12,109
65000,17,11,10,72
35300,6,12,11,101
65900,6,13,12,105
62100,5,17,10,136
44000,7,12,11,101
73800,8,12,10,96
70500,9,12,8,101
42500,9,12,12,91
53800,8,16,12,115
74000,10,16,12,113
67300,13,13,12,123
76900,16,12,10,95
59200,6,12,10,102
156300,12,16,12,145
77400,6,16,11,114
60000,8,12,9,113
57000,12,13,12,93
53800,7,15,12,119
62700,7,12,9,108
54500,8,12,11,72
57600,7,12,9,86
70000,3,16,12,123
78800,6,16,12,103
101200,4,17,12,101
60100,9,14,16,105
50000,8,12,12,95
55000,14,11,6,98
81000,7,18,8,115
31300,10,12,9,60
73100,1,18,4,135
62500,3,16,10,132
58800,4,14,12,106
37500,6,14,12,113
81700,7,16,11,102
86500,10,14,12,91
35000,7,15,12,104
50500,13,13,16,97
81600,7,17,13,125
62500,2,18,12,123
76900,8,18,16,128
50000,4,17,17,133
61900,4,17,8,114
65000,12,12,8,103
76900,4,18,12,130
51200,8,12,12,97
62500,7,18,13,132
111100,11,14,12,98
72100,9,13,12,108
115400,12,14,12,107
82700,10,18,18,129
107600,5,17,17,132
62500,15,12,8,101
46000,8,13,8,92
90000,4,14,12,108
68200,5,18,9,132
62500,8,13,15,106
100500,8,18,12,123
72500,7,11,11,109
75000,6,15,11,103
52900,9,14,8,108
97200,6,17,12,122
47200,8,12,12,109
32500,6,12,12,102
87500,16,12,12,109
62500,15,13,10,100
33700,8,12,10,93
48100,5,16,5,115
96200,6,18,14,125
61500,7,16,12,106
70200,8,14,12,113
63500,11,14,12,122
81700,9,12,10,116
57700,6,14,12,116
46600,3,17,12,105
79300,9,16,12,112
63500,8,14,12,113
70500,7,16,12,94
63500,8,14,9,103
69400,12,12,12,102
61500,15,13,12,109
46200,4,16,10,130
86500,16,12,12,105
73700,9,18,12,134
80800,13,12,7,105
65400,4,16,12,104
